0.0100;8.0000;0.1746
0.0200;8.0000;0.2063
0.0300;8.0000;0.1587
0.0400;8.0000;0.1587
0.0500;8.0000;0.1270
0.0600;8.0000;0.1429
0.0700;8.0000;0.1270
0.0800;8.0000;0.1587
0.0900;8.0000;0.1587
0.0100;8.0500;0.2063
0.0200;8.0500;0.2063
0.0300;8.0500;0.1746
0.0400;8.0500;0.1429
0.0500;8.0500;0.1111
0.0600;8.0500;0.1111
0.0700;8.0500;0.1111
0.0800;8.0500;0.1111
0.0900;8.0500;0.1429
0.0100;8.1000;0.2222
0.0200;8.1000;0.1746
0.0300;8.1000;0.2063
0.0400;8.1000;0.1429
0.0500;8.1000;0.1111
0.0600;8.1000;0.0952
0.0700;8.1000;0.0794
0.0800;8.1000;0.1111
0.0900;8.1000;0.1429
0.0100;8.1500;0.1905
0.0200;8.1500;0.1905
0.0300;8.1500;0.2063
0.0400;8.1500;0.1111
0.0500;8.1500;0.1111
0.0600;8.1500;0.0794
0.0700;8.1500;0.0794
0.0800;8.1500;0.0952
0.0900;8.1500;0.1429
0.0100;8.2000;0.1905
0.0200;8.2000;0.2063
0.0300;8.2000;0.2063
0.0400;8.2000;0.0794
0.0500;8.2000;0.0952
0.0600;8.2000;0.0794
0.0700;8.2000;0.0952
0.0800;8.2000;0.0952
0.0900;8.2000;0.1111
0.0100;8.2500;0.1587
0.0200;8.2500;0.1905
0.0300;8.2500;0.2063
0.0400;8.2500;0.0635
0.0500;8.2500;0.0952
0.0600;8.2500;0.0952
0.0700;8.2500;0.1111
0.0800;8.2500;0.0952
0.0900;8.2500;0.1111
0.0100;8.3000;0.1746
0.0200;8.3000;0.1746
0.0300;8.3000;0.2063
0.0400;8.3000;0.0794
0.0500;8.3000;0.1111
0.0600;8.3000;0.0952
0.0700;8.3000;0.0952
0.0800;8.3000;0.1111
0.0900;8.3000;0.1270
0.0100;8.3500;0.1746
0.0200;8.3500;0.1587
0.0300;8.3500;0.2063
0.0400;8.3500;0.0635
0.0500;8.3500;0.1270
0.0600;8.3500;0.0952
0.0700;8.3500;0.1429
0.0800;8.3500;0.1429
0.0900;8.3500;0.1429
0.0100;8.4000;0.1429
0.0200;8.4000;0.1587
0.0300;8.4000;0.1905
0.0400;8.4000;0.0794
0.0500;8.4000;0.1429
0.0600;8.4000;0.1111
0.0700;8.4000;0.1587
0.0800;8.4000;0.1270
0.0900;8.4000;0.1587
0.0100;8.4500;0.1270
0.0200;8.4500;0.1905
0.0300;8.4500;0.1905
0.0400;8.4500;0.0794
0.0500;8.4500;0.1429
0.0600;8.4500;0.1270
0.0700;8.4500;0.1587
0.0800;8.4500;0.1429
0.0900;8.4500;0.1587
0.0100;8.5000;0.1270
0.0200;8.5000;0.1905
0.0300;8.5000;0.2063
0.0400;8.5000;0.1270
0.0500;8.5000;0.1270
0.0600;8.5000;0.1270
0.0700;8.5000;0.1587
0.0800;8.5000;0.1429
0.0900;8.5000;0.1746
0.0100;8.5500;0.1270
0.0200;8.5500;0.1746
0.0300;8.5500;0.2063
0.0400;8.5500;0.1587
0.0500;8.5500;0.1587
0.0600;8.5500;0.1587
0.0700;8.5500;0.1905
0.0800;8.5500;0.1587
0.0900;8.5500;0.1905
0.0100;8.6000;0.1111
0.0200;8.6000;0.1587
0.0300;8.6000;0.2381
0.0400;8.6000;0.1429
0.0500;8.6000;0.1587
0.0600;8.6000;0.1587
0.0700;8.6000;0.1905
0.0800;8.6000;0.1587
0.0900;8.6000;0.1746
0.0100;8.6500;0.0794
0.0200;8.6500;0.1429
0.0300;8.6500;0.2063
0.0400;8.6500;0.1429
0.0500;8.6500;0.1746
0.0600;8.6500;0.1587
0.0700;8.6500;0.1746
0.0800;8.6500;0.1587
0.0900;8.6500;0.1587
0.0100;8.7000;0.0952
0.0200;8.7000;0.1111
0.0300;8.7000;0.2063
0.0400;8.7000;0.1429
0.0500;8.7000;0.1587
0.0600;8.7000;0.1429
0.0700;8.7000;0.1746
0.0800;8.7000;0.1746
0.0900;8.7000;0.1587
0.0100;8.7500;0.0794
0.0200;8.7500;0.1111
0.0300;8.7500;0.1746
0.0400;8.7500;0.2063
0.0500;8.7500;0.1746
0.0600;8.7500;0.1429
0.0700;8.7500;0.1587
0.0800;8.7500;0.1587
0.0900;8.7500;0.1429
0.0100;8.8000;0.0635
0.0200;8.8000;0.1111
0.0300;8.8000;0.1746
0.0400;8.8000;0.2222
0.0500;8.8000;0.1587
0.0600;8.8000;0.1429
0.0700;8.8000;0.1587
0.0800;8.8000;0.1587
0.0900;8.8000;0.1429
0.0100;8.8500;0.0635
0.0200;8.8500;0.0952
0.0300;8.8500;0.1905
0.0400;8.8500;0.2698
0.0500;8.8500;0.1746
0.0600;8.8500;0.1905
0.0700;8.8500;0.1905
0.0800;8.8500;0.2063
0.0900;8.8500;0.1905
0.0100;8.9000;0.0635
0.0200;8.9000;0.0794
0.0300;8.9000;0.1746
0.0400;8.9000;0.2698
0.0500;8.9000;0.1746
0.0600;8.9000;0.1905
0.0700;8.9000;0.1746
0.0800;8.9000;0.2063
0.0900;8.9000;0.2063
0.0100;8.9500;0.0794
0.0200;8.9500;0.0794
0.0300;8.9500;0.1111
0.0400;8.9500;0.2222
0.0500;8.9500;0.1429
0.0600;8.9500;0.1746
0.0700;8.9500;0.1905
